x,orig_N01,trans
2.827,0.0073,0.1511
2.877,0.0064,0.1501
2.927,0.0055,0.1490
2.977,0.0047,0.1478
3.028,0.0041,0.1467
3.078,0.0035,0.1454
3.128,0.0030,0.1441
3.178,0.0026,0.1428
3.228,0.0022,0.1414
3.278,0.0019,0.1400
3.328,0.0016,0.1386
3.378,0.0013,0.1371
3.429,0.0011,0.1355
3.479,0.0009,0.1340
3.529,0.0008,0.1324
3.579,0.0007,0.1307
3.629,0.0006,0.1291
3.679,0.0005,0.1274
3.729,0.0004,0.1256
3.779,0.0003,0.1239
3.830,0.0003,0.1221
3.880,0.0002,0.1203
3.930,0.0002,0.1185
3.980,0.0001,0.1166
4.030,0.0001,0.1148
4.080,0.0001,0.1129
4.130,0.0001,0.1110
4.180,0.0001,0.1091
4.231,0.0001,0.1072
4.281,0.0000,0.1053
4.331,0.0000,0.1033
4.381,0.0000,0.1014
4.431,0.0000,0.0995
4.481,0.0000,0.0975
4.531,0.0000,0.0956
4.581,0.0000,0.0936
4.632,0.0000,0.0917
4.682,0.0000,0.0898
4.732,0.0000,0.0878
4.782,0.0000,0.0859
4.832,0.0000,0.0840
4.882,0.0000,0.0821
4.932,0.0000,0.0802
4.982,0.0000,0.0783
5.033,0.0000,0.0765
5.083,0.0000,0.0746
5.133,0.0000,0.0728
5.183,0.0000,0.0710
5.233,0.0000,0.0692
5.283,0.0000,0.0674
5.333,0.0000,0.0656
5.383,0.0000,0.0639
5.434,0.0000,0.0621
5.484,0.0000,0.0604
5.534,0.0000,0.0588
5.584,0.0000,0.0571
5.634,0.0000,0.0555
5.684,0.0000,0.0539
5.734,0.0000,0.0523
5.784,0.0000,0.0507
5.835,0.0000,0.0492
5.885,0.0000,0.0477
5.935,0.0000,0.0462
5.985,0.0000,0.0448
6.035,0.0000,0.0434
6.085,0.0000,0.0420
6.135,0.0000,0.0406
6.185,0.0000,0.0393
6.236,0.0000,0.0380
6.286,0.0000,0.0367
6.336,0.0000,0.0355
6.386,0.0000,0.0342
6.436,0.0000,0.0331
6.486,0.0000,0.0319
6.536,0.0000,0.0308
6.586,0.0000,0.0297
6.637,0.0000,0.0286
6.687,0.0000,0.0275
6.737,0.0000,0.0265
6.787,0.0000,0.0255
6.837,0.0000,0.0246
6.887,0.0000,0.0236
6.937,0.0000,0.0227
6.987,0.0000,0.0218
7.038,0.0000,0.0210
7.088,0.0000,0.0201
7.138,0.0000,0.0193
7.188,0.0000,0.0185
7.238,0.0000,0.0178
7.288,0.0000,0.0170
7.338,0.0000,0.0163
7.388,0.0000,0.0156
7.439,0.0000,0.0150
7.489,0.0000,0.0143
7.539,0.0000,0.0137
7.589,0.0000,0.0131
7.639,0.0000,0.0125
7.689,0.0000,0.0120
7.739,0.0000,0.0114
7.789,0.0000,0.0109
7.840,0.0000,0.0104
7.890,0.0000,0.0099
7.940,0.0000,0.0095
7.990,0.0000,0.0090
8.040,0.0000,0.0086
8.090,0.0000,0.0082
8.140,0.0000,0.0078
8.190,0.0000,0.0074
8.241,0.0000,0.0071
8.291,0.0000,0.0067
8.341,0.0000,0.0064
8.391,0.0000,0.0061
8.441,0.0000,0.0058
8.491,0.0000,0.0055
8.541,0.0000,0.0052
8.591,0.0000,0.0049
8.642,0.0000,0.0047
8.692,0.0000,0.0044
8.742,0.0000,0.0042
8.792,0.0000,0.0040
8.842,0.0000,0.0038
8.892,0.0000,0.0036
8.942,0.0000,0.0034
8.992,0.0000,0.0032
9.043,0.0000,0.0030
9.093,0.0000,0.0029
9.143,0.0000,0.0027
9.193,0.0000,0.0025
9.243,0.0000,0.0024
9.293,0.0000,0.0023
9.343,0.0000,0.0021
9.393,0.0000,0.0020
9.444,0.0000,0.0019
9.494,0.0000,0.0018
9.544,0.0000,0.0017
9.594,0.0000,0.0016
9.644,0.0000,0.0015
9.694,0.0000,0.0014
9.744,0.0000,0.0013
9.794,0.0000,0.0012
9.845,0.0000,0.0012
9.895,0.0000,0.0011
9.945,0.0000,0.0010
9.995,0.0000,0.0010
10.045,0.0000,0.0009
10.095,0.0000,0.0008
10.145,0.0000,0.0008
10.195,0.0000,0.0007
10.246,0.0000,0.0007
10.296,0.0000,0.0006
10.346,0.0000,0.0006
10.396,0.0000,0.0006
10.446,0.0000,0.0005
10.496,0.0000,0.0005
10.546,0.0000,0.0005
10.596,0.0000,0.0004
10.647,0.0000,0.0004
10.697,0.0000,0.0004
10.747,0.0000,0.0004
10.797,0.0000,0.0003
10.847,0.0000,0.0003
10.897,0.0000,0.0003
10.947,0.0000,0.0003
10.997,0.0000,0.0002
11.048,0.0000,0.0002
11.098,0.0000,0.0002
11.148,0.0000,0.0002
11.198,0.0000,0.0002
11.248,0.0000,0.0002
11.298,0.0000,0.0002
11.348,0.0000,0.0001
11.398,0.0000,0.0001
11.449,0.0000,0.0001
11.499,0.0000,0.0001
11.549,0.0000,0.0001
11.599,0.0000,0.0001
11.649,0.0000,0.0001
11.699,0.0000,0.0001
11.749,0.0000,0.0001
11.799,0.0000,0.0001
11.850,0.0000,0.0001
11.900,0.0000,0.0001
11.950,0.0000,0.0001
12.000,0.0000,0.0001
