k,true_x,true_y,true_vx,true_vy,est_x,est_y,est_vx,est_vy,error
62,78.7919,-48.3043,1.6981,-0.1314,160.5519,-97.5920,3.2604,-2.1015,95.4672
63,80.4967,-48.2200,1.6000,-0.0289,164.0802,-100.0806,3.2857,-2.1104,98.3653
64,82.1274,-48.0608,1.3413,0.6327,167.5802,-104.0441,3.2304,-2.2681,102.1583
65,83.0847,-47.0618,1.5916,0.8301,172.4221,-103.7099,3.4752,-1.9782,105.7836
66,84.6724,-46.5154,1.6156,0.6160,173.4109,-99.5116,3.6383,-1.4923,103.3591
67,86.2415,-46.1605,1.5140,0.7465,178.1972,-101.6912,3.6930,-1.5301,107.4220
68,87.4955,-45.3369,1.5914,0.5862,181.5089,-102.1824,3.7077,-1.4500,109.8632
69,89.1603,-45.2086,1.1464,0.3590,183.1783,-100.8611,3.7332,-1.2796,109.2547
70,90.4050,-44.3830,1.4176,0.3085,183.9118,-98.2688,3.7858,-1.0564,107.9222
71,91.5056,-44.0804,1.3263,0.4105,188.2852,-99.8553,3.7944,-1.0819,111.7012
72,92.9961,-43.1852,1.2919,0.5376,187.5331,-94.4210,3.9379,-0.6095,107.5284
73,94.1611,-42.5767,1.2959,0.5684,192.3903,-95.5659,3.9599,-0.6121,111.6102
74,95.4647,-41.8508,1.7548,0.8718,177.5937,-80.0095,3.8314,0.3132,90.5608
75,96.9768,-40.7032,1.8128,1.5643,185.7327,-82.3478,3.9322,0.1705,98.0402
76,98.5241,-39.3285,1.1411,1.3980,191.8717,-83.5245,3.9553,0.1231,103.2815
77,99.7127,-37.8224,1.7344,1.6986,195.5661,-82.4673,3.9770,0.2296,105.7404
78,101.1630,-35.9683,1.3169,2.2777,182.4180,-70.4032,3.6909,0.7877,88.2504
79,102.3316,-34.2323,1.7451,2.2415,156.2522,-54.7564,2.9694,1.3184,57.6946
