x,p(x)
8.892,0.0000
8.942,0.0000
8.992,0.0000
9.043,0.0000
9.093,0.0000
9.143,0.0000
9.193,0.0000
9.243,0.0000
9.293,0.0000
9.343,0.0000
9.393,0.0000
9.444,0.0000
9.494,0.0000
9.544,0.0000
9.594,0.0000
9.644,0.0000
9.694,0.0000
9.744,0.0000
9.794,0.0000
9.845,0.0000
9.895,0.0000
9.945,0.0000
9.995,0.0000
10.045,0.0000
10.095,0.0000
10.145,0.0000
10.195,0.0000
10.246,0.0000
10.296,0.0000
10.346,0.0000
10.396,0.0000
10.446,0.0000
10.496,0.0000
10.546,0.0000
10.596,0.0000
10.647,0.0000
10.697,0.0000
10.747,0.0000
10.797,0.0000
10.847,0.0000
10.897,0.0000
10.947,0.0000
10.997,0.0000
11.048,0.0000
11.098,0.0000
11.148,0.0000
11.198,0.0000
11.248,0.0000
11.298,0.0000
11.348,0.0000
11.398,0.0000
11.449,0.0000
11.499,0.0000
11.549,0.0000
11.599,0.0000
11.649,0.0000
11.699,0.0000
11.749,0.0000
11.799,0.0000
11.850,0.0000
11.900,0.0000
11.950,0.0000
12.000,0.0000
